Packet_ID,Rx_Time_Sec,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0,0.1235,1.3591232368,-2.1870398563999998,3.972085516,1.7238328100000002,-0.17103940000000004,-0.06597234
0,0.1235,1.3351950108,-2.1583259852,3.9768711612,1.7018420300000003,-0.17470453000000002,-0.06597234
0,0.1235,1.3447663012,-2.1343977592,4.0103706776,1.6786295400000002,-0.17714795000000003,-0.06475063000000002
0,0.1235,1.339980656,-2.1152551784,4.0534414843999995,1.6505302100000003,-0.17959137000000003,-0.05986379000000001
0,0.1235,1.3591232368,-2.1008982428,4.091726646,1.6199874600000002,-0.18325650000000002,-0.05619866000000001
0,0.1235,1.3591232368,-2.081755662,4.115654872,1.5833361600000002,-0.18814334000000002,-0.048868400000000006
0,0.1235,1.3447663012,-2.105683888,4.0965122912,1.5454631500000002,-0.19058676000000002,-0.046424980000000005
0,0.1235,1.4021940436,-2.0913269523999998,4.0725840652,1.4953730400000003,-0.19180847000000004,-0.04398156000000001
0,0.1235,1.4739787216,-2.081755662,4.0869410008,1.4330658300000003,-0.18936505000000003,-0.04520327000000001
0,0.1235,1.5170495284,-2.0673987264,4.0630127748,1.3707586200000001,-0.18447821000000003,-0.05131182000000001
0,0.1235,1.5888342064,-2.0865413072,4.0869410008,1.3072297000000002,-0.18325650000000002,-0.05864208000000001
0,0.1235,1.5936198516,-2.1104695332,4.1204405172,1.2473659100000003,-0.17592624000000004,-0.06963747
0,0.1235,1.6127624324,-2.129612114,4.1443687432,1.1960540900000003,-0.17226111000000002,-0.07941115000000001
0,0.1235,1.6654045296,-2.177468566,4.1970108404,1.1594027900000001,-0.16615256000000003,-0.09162825000000001
0,0.1235,1.6414763036,-2.225325018,4.2400816472,1.1374120100000003,-0.16737427000000002,-0.10262364000000002
0,0.1235,1.5888342064,-2.2444675988,4.2879380992,1.1313034600000003,-0.17470453000000002,-0.11239732000000002
0,0.1235,1.5984054967999999,-2.2875384056,4.3357945512,1.1374120100000003,-0.18936505000000003,-0.12461442000000002
0,0.1235,1.5840485612,-2.3018953412,4.3597227772,1.1471856900000001,-0.20524728000000003,-0.1343881
0,0.1235,1.5696916256,-2.3258235672,4.3980079388,1.15818108,-0.22235122000000004,-0.14294007000000003
0,0.1235,1.5696916256,-2.3353948576,4.4315074552,1.1728416000000002,-0.24067687000000004,-0.15027033000000004
1,0.2419,1.5840485612,-2.2827527603999997,4.4362931003999995,1.1887238300000003,-0.25533739000000005,-0.15637888000000003
1,0.2419,1.5888342064,-2.27318147,4.4219361648,1.2046060600000001,-0.26755449000000003,-0.15760059
1,0.2419,1.5601203352,-2.2540388892,4.4171505196,1.2180448700000002,-0.27977159000000007,-0.15637888000000003
1,0.2419,1.5409777544,-2.2061824372,4.4410787456,1.2265968400000002,-0.28710185000000005,-0.15637888000000003
1,0.2419,1.5744772707999999,-2.201396792,4.4362931003999995,1.23514881,-0.29565382000000007,-0.15149204000000002
1,0.2419,1.5601203352,-2.1966111468,4.4362931003999995,1.2449224900000002,-0.30176237000000006,-0.14660520000000002
1,0.2419,1.5601203352,-2.2301106632,4.4697926167999995,1.26080472,-0.30298408000000004,-0.13927494
1,0.2419,1.5218351736,-2.2301106632,4.4410787456,1.2889040500000002,-0.30664921000000006,-0.13316639000000002
1,0.2419,1.5361921092,-2.201396792,4.4458643908,1.3182250900000003,-0.30787092000000005,-0.12583613000000002
1,0.2419,1.4883356572,-2.2061824372,4.450650036,1.3536546800000002,-0.30664921000000006,-0.11850587000000001
1,0.2419,1.483550012,-2.2061824372,4.4362931003999995,1.3915276900000002,-0.3103143400000001,-0.11361903000000002
1,0.2419,1.4691930764,-2.2205393728,4.4219361648,1.4330658300000003,-0.30909263000000003,-0.10873219000000002
1,0.2419,1.4404792052,-2.2109680824,4.4458643908,1.4770473900000003,-0.31275776000000005,-0.10384535000000002
1,0.2419,1.4165509792,-2.15354034,4.4697926167999995,1.5283592100000003,-0.31397947000000004,-0.09773680000000001
1,0.2419,1.4165509792,-2.1439690496,4.4362931003999995,1.5833361600000002,-0.31642289000000007,-0.09284996000000001
1,0.2419,1.3974083983999999,-2.0865413072,4.4602213264,1.6370914000000003,-0.31886631000000004,-0.08674141000000002
1,0.2419,1.3974083983999999,-2.0291135648,4.4697926167999995,1.6798512500000002,-0.32253144000000006,-0.07818944000000001
1,0.2419,1.3734801723999999,-1.9908284031999999,4.4841495524,1.7189459700000003,-0.32253144000000006,-0.06841576
1,0.2419,1.4021940436,-1.9525432416,4.5128634236,1.7507104300000003,-0.32497486000000003,-0.05742037000000001
1,0.2419,1.3782658176,-1.9046867896,4.5415772948,1.7714795000000003,-0.32863999000000005,-0.04275985000000001
