Packet_ID,Rx_Time_Sec,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0,0.0525,0.014356935599999999,-0.1770688724,5.0057848792,0.013438810000000002,-0.00855197,-0.004886840000000001
0,0.0525,0.0095712904,-0.1818545176,5.0153561695999995,0.013438810000000002,-0.007330260000000002,-0.004886840000000001
0,0.0525,0.023928226,-0.1770688724,5.0057848792,0.013438810000000002,-0.007330260000000002,-0.003665130000000001
0,0.0525,0.0047856452,-0.2009970984,5.000999234,0.013438810000000002,-0.007330260000000002,-0.004886840000000001
0,0.0525,0.047856452,-0.2009970984,4.9962135888,0.014660520000000003,-0.007330260000000002,-0.006108550000000001
0,0.0525,-0.014356935599999999,-0.1722832272,5.0105705244,0.012217100000000002,-0.007330260000000002,-0.003665130000000001
0,0.0525,0.0047856452,-0.1962114532,5.0201418148,0.010995390000000002,-0.007330260000000002,-0.004886840000000001
0,0.0525,0.0095712904,-0.20578274359999998,5.02492746,0.012217100000000002,-0.007330260000000002,-0.004886840000000001
0,0.0525,0.0047856452,-0.1818545176,4.977071008,0.013438810000000002,-0.007330260000000002,-0.004886840000000001
0,0.0525,0.0382851616,-0.1866401628,4.9914279436,0.010995390000000002,-0.00855197,-0.003665130000000001
0,0.0525,0.023928226,-0.1866401628,5.000999234,0.012217100000000002,-0.007330260000000002,-0.003665130000000001
0,0.0525,-0.0095712904,-0.1866401628,4.977071008,0.012217100000000002,-0.007330260000000002,-0.003665130000000001
0,0.0525,0.023928226,-0.1866401628,5.000999234,0.012217100000000002,-0.006108550000000001,-0.004886840000000001
0,0.0525,0.0191425808,-0.191425808,4.9722853628,0.012217100000000002,-0.00855197,-0.003665130000000001
0,0.0525,0.0334995164,-0.2105683888,5.0057848792,0.012217100000000002,-0.007330260000000002,-0.0024434200000000004
0,0.0525,0.0095712904,-0.2009970984,5.000999234,0.013438810000000002,-0.007330260000000002,-0.004886840000000001
0,0.0525,0.0047856452,-0.2009970984,5.0297131052,0.012217100000000002,-0.007330260000000002,-0.003665130000000001
0,0.0525,0.014356935599999999,-0.1962114532,4.9914279436,0.012217100000000002,-0.006108550000000001,-0.004886840000000001
0,0.0525,0.0047856452,-0.1962114532,4.977071008,0.012217100000000002,-0.00855197,-0.004886840000000001
0,0.0525,0.0095712904,-0.1962114532,4.9866422984,0.012217100000000002,-0.00855197,-0.004886840000000001
1,0.1021,-0.0047856452,-0.1866401628,5.02492746,0.015882230000000004,-0.00855197,-0.004886840000000001
1,0.1021,0.0,-0.2201396792,5.0153561695999995,0.012217100000000002,-0.007330260000000002,-0.004886840000000001
1,0.1021,0.0047856452,-0.2009970984,4.9914279436,0.012217100000000002,-0.00855197,-0.004886840000000001
1,0.1021,0.0334995164,-0.1818545176,5.0057848792,0.012217100000000002,-0.006108550000000001,-0.004886840000000001
1,0.1021,0.023928226,-0.1770688724,5.0297131052,0.013438810000000002,-0.007330260000000002,-0.004886840000000001
1,0.1021,0.0047856452,-0.2009970984,4.9962135888,0.012217100000000002,-0.006108550000000001,-0.003665130000000001
1,0.1021,0.0047856452,-0.2440679052,4.9674997176,0.013438810000000002,-0.007330260000000002,-0.004886840000000001
1,0.1021,0.023928226,-0.20578274359999998,4.9914279436,0.012217100000000002,-0.007330260000000002,-0.006108550000000001
1,0.1021,0.0191425808,-0.1962114532,5.000999234,0.013438810000000002,-0.007330260000000002,-0.004886840000000001
1,0.1021,0.014356935599999999,-0.191425808,4.9914279436,0.013438810000000002,-0.007330260000000002,-0.004886840000000001
1,0.1021,-0.0095712904,-0.191425808,5.0201418148,0.013438810000000002,-0.007330260000000002,-0.004886840000000001
1,0.1021,0.0095712904,-0.1818545176,5.0297131052,0.012217100000000002,-0.007330260000000002,-0.003665130000000001
