Packet_ID,Rx_Time_Sec,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0,0.0525,-1.4500504956,-8.4562350684,-33.513873335599996,-0.6694970800000001,-6.591125450000001,-1.2998994400000001
0,0.0525,-63.1513740592,-5.5657053676,-37.3328182052,0.22845977000000003,-3.3352683000000005,-0.39094720000000005
0,0.0525,-28.2448779704,0.45942193919999996,-9.164510558,0.6585016900000001,1.9669531000000002,-0.3103143400000001
0,0.0525,6.9391855399999995,6.4510497296,48.885365717999996,-0.11972758000000001,4.245442250000001,0.43737218000000005
0,0.0525,8.327022648,50.4789855696,20.5830600052,-1.3915276900000002,1.8997590500000003,0.7147003500000001
0,0.0525,27.550959416399998,12.849457361999999,-19.7264295144,-0.26388936,0.8075503100000001,0.37506497000000005
0,0.0525,38.3521606328,-0.2584248408,-26.2923347288,0.09529338000000001,-1.0873219000000003,-0.23823345000000004
0,0.0525,1.2490533972,11.8109723536,23.6698011592,0.19058676000000002,-3.789744420000001,-0.32375315000000005
0,0.0525,15.151352703199999,24.7513569744,32.8678112336,0.19180847000000004,-4.10372389,-0.14660520000000002
0,0.0525,-16.2664080348,47.832523774,-7.5661050612,0.0,-9.133503960000002,0.4801320300000001
0,0.0525,-74.3880689888,36.7346125552,-20.6883441996,0.07452431000000001,-9.1017395,0.4080511400000001
0,0.0525,-81.547394208,17.5968174004,-14.8929278624,-0.028099330000000006,1.3072297000000002,0.4642498000000001
0,0.0525,81.1788995276,-27.5701019972,11.6865455784,0.09040654000000002,10.063225270000002,-1.6309828500000003
0,0.0525,140.7075401704,-9.0735832992,29.383861528,-0.6988181200000001,3.6443609300000004,-1.9840570400000004
0,0.0525,3.5605200288,-20.2097796796,-1.459621786,-0.17836966000000004,-7.8336045200000015,-0.7770075600000002
0,0.0525,-127.7575842592,32.4897452628,-38.1033070824,-0.3518524800000001,-8.864727760000001,0.04031643000000001
0,0.0525,-80.2217704876,32.3653184876,8.9635134596,0.06597234,3.0090717300000005,0.57298199
0,0.0525,6.1351971463999995,30.0921370176,16.4530481976,0.018325650000000002,8.369935210000001,0.5864208000000001
0,0.0525,68.2098010356,29.982067177999998,2.9575287336,0.40560772000000006,6.9759641000000014,0.7354694200000002
0,0.0525,24.2680068092,7.3316084464,-16.6971161028,0.7244740300000001,1.4892644900000003,0.8649706800000001
1,0.1016,-14.0410830168,8.6715891024,16.089339162399998,0.8869614600000001,-1.5698973500000002,-0.12217100000000002
1,0.1016,-35.705698837199996,-0.6604190376,1.842473402,0.8515318700000002,-1.7885834400000002,-0.4447024400000001
1,0.1016,-1.507478238,4.2305103568,-7.1928247355999995,0.39461233000000007,1.7213893900000004,-0.4141596900000001
1,0.1016,-0.1962114532,-0.263210486,-15.156138348399999,0.20280386000000003,3.3047255500000006,0.3982774600000001
1,0.1016,2.63210486,8.3796647452,3.6610185779999997,0.41171627000000005,2.42509435,0.32863999000000005
